Date,DZD,ARS,AUD,BDT,BRL,KHR,CAD,CLP,CNY,TWD,COP,EUR,CZK,DKK,HKD,HUF,ISK,INR,IDR,ILS,JPY,KRW,MYR,MXN,NZD,NOK,PEN,PHP,PKR,PLN,RON,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TRY,AED,GBP,USD,VEF,VND
2020-04-23,81.8854832789565,10.15748441074151,79.5177057041608,105.18899240484747,50.104727766463434,113.82303789165829,78.2080805883509,81.56751829962955,118.65036240607061,119.4194275303167,68.53940041172162,110.38337496353306,96.12789245455969,105.86310681051137,109.47142301302866,81.51805611890923,110.41628533065126,80.64411531390081,69.47151890049581,128.96388146702185,94.21507276096351,112.42456901145783,85.52875012602478,55.20347019844917,98.67867097641904,70.99971099297827,110.53838822760656,101.42319678110248,68.64583956022965,96.30369827050322,97.19796748140145,52.11365864240341,121.87458958020905,113.59099172481271,46.64311202200207,94.18206869434343,131.52108458604812,116.98361105970856,28.168111508771936,129.69412416182882,100.42563610461679,138.30635583646406,0.0019220272695456458,95.04791970123094
2020-04-24,81.96308329395522,10.195588700769614,79.63876631682696,105.1178000687935,49.02123468980601,113.85203887545592,78.74243051233749,81.50041531001222,118.74944285745947,119.4754931157487,68.98579658584815,110.54427083143518,96.98034155664149,105.87847765203048,109.49926907931142,82.03689842483367,109.49689698120608,80.45858357792545,69.27981105838812,130.00898871844717,94.11283562714355,112.27412425367716,85.5955346399463,54.33521245866121,98.69755521903485,71.30427216201485,110.18609904924945,101.15188669122004,68.64583956022965,96.47362495335352,97.18009593050446,52.333296152262946,121.92983177625389,113.44597856583843,46.85375674178482,94.32769899401642,131.55308696233828,116.63180048260482,27.975551845975794,129.78351574342537,100.16967262204777,138.5519327330757,0.0019220272695456458,95.11384714833193
2020-04-25,81.96308329395522,10.195588700769614,79.63876631682696,105.1178000687935,49.02123468980601,113.85203887545592,78.74243051233749,81.50041531001222,118.74944285745947,119.4754931157487,68.983653632976,110.54427083143518,96.98034155664149,105.87847765203048,109.49926907931142,82.03689842483367,109.49689698120608,80.45858357792545,69.27981105838812,130.00898871844717,94.11283562714355,112.27412425367716,85.5955346399463,54.33521245866121,98.69755521903485,71.30427216201485,110.18609904924945,101.15188669122004,68.64583956022965,96.47362495335352,97.18009593050446,52.333296152262946,121.92983177625389,113.44597856583843,46.85375674178482,94.32769899401642,131.55308696233828,116.63180048260482,27.975551845975794,129.78351574342537,100.16967262204777,138.5519327330757,0.0019220272695456458,95.11384714833193
2020-04-26,81.96308329395522,10.195588700769614,79.63876631682696,105.1178000687935,49.02123468980601,113.85203977410892,78.74243051233749,81.50041531001222,118.74944285745947,119.4754931157487,68.983653632976,110.54427083143518,96.98034155664149,105.87847765203048,109.49926907931142,82.03689842483367,109.49689698120608,80.45858357792545,69.27981105838812,130.00898871844717,94.11283562714355,112.27412425367716,85.5955346399463,54.33521245866121,98.69755521903485,71.30427216201485,110.18609904924945,101.15188669122004,68.64583956022965,96.47362495335352,97.18009593050446,52.333296152262946,121.92983177625389,113.44597856583843,46.85375674178482,94.32769899401642,131.55308696233828,116.63180048260482,27.975551845975794,129.78351574342537,100.16967262204777,138.5519327330757,0.0019220272695456458,95.11384704733238
2020-04-27,81.84327571106316,10.162163302883249,80.53148480109095,104.8436644132448,49.03721778067116,112.95306625459303,78.64248122906112,81.30795009838263,118.31155919289169,119.40932257466812,68.61219308553429,110.70599173494308,97.46397092756686,105.90204679939228,109.36537015095371,82.18779177222152,109.66052662816968,80.39707348347783,70.1845394488107,129.86242372685118,94.3465976233127,112.92820008155182,85.46576752293788,54.17305044836015,99.34250886239681,71.49944319473033,109.44413192984462,101.17795754774241,68.64583956022965,96.47317142896547,97.30020219116763,52.35164889400645,121.60524724517737,113.70144390895459,47.15394926904203,94.32281065936087,131.32505812929207,116.17489997437063,27.856061950386383,129.45125258859886,100.58164666170957,138.34168072170115,0.0019220272695456458,94.86119566896863
2020-04-28,81.8136470112335,10.153075195966858,80.87900077489493,104.68201278633993,48.52206162951296,112.78093617690016,79.1097431716397,81.50924357973157,118.18072248782289,119.45381272710085,68.47424591057684,110.73635418424028,97.35550709822172,105.70703574465425,109.21578195809663,81.90147982287742,108.94900575384166,80.56318663365126,70.15981251492504,130.07941414402313,94.53944352929088,113.27233917017764,85.16040253318012,55.28139003580802,98.99765445173269,72.52001982708546,109.63712146974297,101.17369450302658,68.64583956022965,96.08371271899803,97.2244232281795,52.259410643819,121.3881130601273,113.71279455122405,47.45329571966661,95.3159187242795,131.0082251217341,116.1108555950352,27.747139116395715,129.2214100062,100.79168939551215,137.56465252355173,0.0019220272695456458,94.67048118075643
2020-04-29,81.6918167848089,10.072824312528967,80.97580872717263,104.72633482811648,49.73599426077066,112.79515648631215,79.0905333804532,81.96404691488097,118.02862888749048,119.71218288119512,68.22954564891471,110.396669910403,97.66323734067294,105.59470382827226,109.19463992073261,81.91735790013703,108.7632574951553,80.75417212176109,70.31292404279863,129.87143416739488,94.61651868305813,113.17800576354784,85.40144291699644,55.881173804663995,99.35003943535864,72.5065756244778,109.91035312451136,101.29344665913484,68.64583956022965,96.03414318674835,97.14987162152075,52.720227249138865,121.33410525701034,113.7344525797827,48.04597824648988,95.36159799268455,130.9730681455833,116.06283804952537,27.806891703813175,129.1311769773928,100.25625328690914,137.3083378033439,0.0019220272695456458,94.62203893067182
2020-04-30,81.38529851861617,9.982063383622178,81.1511908319763,104.14135248334078,50.3392607990329,112.07083751399534,79.45966598059016,82.95727585202731,117.94047983931755,119.90577785772754,69.00318021456775,110.18482060629839,97.69805085244427,105.38830163274598,108.73837720312041,82.5405809827134,108.68722059156653,81.06923067364387,72.12341653447835,129.81490114852824,94.1935957955058,113.85392123477604,85.96498321751696,56.73546319768402,99.93204565050475,72.96702226538864,109.08177670208363,101.14603444844312,68.64583956022965,96.18843961702042,97.07434232396696,52.63256795130074,120.81124849547489,113.59523379236722,48.79155541917605,95.86843869685077,131.08003220071913,115.68004341367748,27.705764977977854,128.57724266867382,100.7609971657472,136.34581756828922,0.0019220272695456458,94.1886874015645
2020-05-01,81.38529851861617,9.982063383622178,81.1511908319763,104.17073554946457,50.3392607990329,112.08457729378878,79.45966598059016,82.95727585202731,117.94047983931755,119.90577785772754,69.0089976938481,110.18482060629839,97.69805085244427,105.38830163274598,108.73837720312041,82.5405809827134,108.68722059156653,81.06923067364387,72.12341653447835,129.81490114852824,94.1935957955058,113.85392123477604,85.96498321751696,56.73546319768402,99.93204565050475,72.96702226538864,109.08177670208363,101.14603444844312,68.64583956022965,96.18843961702042,97.07434232396696,52.63256795130074,120.81124849547489,113.59523379236722,48.79155541917605,95.86843869685077,131.08003220071913,115.68004341367748,27.705764977977854,128.5753007764038,100.7609971657472,136.34581756828922,0.0019220272695456458,94.1871332954512
2020-05-02,81.38529851861617,9.982063383622178,81.1511908319763,104.17073554946457,50.3392607990329,112.08457729378878,79.45966598059016,82.95727585202731,117.94047983931755,119.90577785772754,69.0089976938481,110.18482060629839,97.69805085244427,105.38830163274598,108.73837720312041,82.5405809827134,108.68722059156653,81.06923067364387,72.12341653447835,129.81490114852824,94.1935957955058,113.85392123477604,85.96498321751696,56.73546319768402,99.93204565050475,72.96702226538864,109.08177670208363,101.14603444844312,68.64583956022965,96.18843961702042,97.07434232396696,52.63256795130074,120.81124849547489,113.59523379236722,48.79155541917605,95.86843869685077,131.08003220071913,115.68004341367748,27.705764977977854,128.5753007764038,100.7609971657472,136.34581756828922,0.0019220272695456458,94.1871332954512
