Date,DZD,ARS,AUD,BDT,BRL,KHR,CAD,CLP,CNY,TWD,COP,EUR,CZK,DKK,HKD,HUF,ISK,INR,IDR,ILS,JPY,KRW,MYR,MXN,NZD,NOK,PEN,PHP,PKR,PLN,RON,RUB,SAR,SGD,ZAR,SEK,CHF,THB,TRY,AED,GBP,USD,VEF,VND
2019-05-09,83.2255983090122,12.085442276892813,83.70726419197695,101.0637443000035,60.49821279415987,112.9872218532174,80.41356457405755,93.72453147619999,117.08237169196427,100.0,70.78104925630319,102.39388174311755,100.73583222088045,103.78562852704437,104.66927034738815,88.29702828187305,121.33307867781586,75.16910662070985,71.92153592723885,122.90373394032636,88.23746022965356,111.83877065501629,86.32210992139102,69.36730175385529,102.90656088820714,83.01347574526962,102.83579933137365,95.18957578872576,100.0,97.42035384017915,95.77764508290254,56.86389651992838,116.64066899346084,113.54932285522636,60.15125879707364,91.45979857346344,119.75468968004839,114.25842432753481,29.554234030101266,120.02247508079593,100.41645077416837,123.82223935318686,100.0,91.56385650008035
2019-05-10,82.98112107080244,12.02000472058254,83.84721784705614,101.12531921141435,60.61349215035079,112.93038574068808,80.44776017186182,93.38779716903687,116.94864271836327,100.0,70.64289083967608,102.46381893947762,100.71659307566404,103.87115660361061,104.61031135325143,88.27238199634303,121.62650279859606,75.07906499147924,71.58316347892854,122.94791387862061,88.2127699487958,112.04010662032209,85.95716044957798,69.18854988306956,103.07867133173043,82.97701576706861,102.94331663789333,95.02910070469112,100.0,97.40631544333631,95.8034410500488,56.67615680449245,116.48069190483487,113.60593204463632,60.51093032938611,91.40519533831291,120.0260239325557,114.94385993722713,29.979308348587153,119.8290630372987,100.34371993314267,123.73184400166639,100.0,91.68451830764025
2019-05-11,100.0,100.0,100.0,99.67703313348682,100.0,101.96683429032348,100.0,100.0,100.0,100.0,99.7251119085216,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.44771178930264,100.0,100.0,100.0,99.49263882623826
2019-05-12,100.0,100.0,100.0,99.67699501974413,100.0,101.96712681403343,100.0,100.0,100.0,100.0,99.725074411365,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.44789062082071,100.0,100.0,100.0,99.4927040456497
2019-05-13,83.13041740429628,12.1840689567285,83.78079150882776,101.30496276210825,59.9962433811515,113.03321008576704,80.7047904506812,93.77985947367813,116.17806191094996,100.0,71.19912551144549,102.57760956571158,100.62279850354419,103.99054388005418,105.09895018652867,88.29164017442898,121.69256156295856,74.5942027226194,71.73286556347125,122.73661744373837,88.72537741889684,111.57182572913294,86.2140192731749,69.1089861189825,103.12307787901926,83.12779361077533,102.76042789136301,94.95804754121892,100.0,97.29398533448166,95.85113046368284,56.63983535673738,116.76134526342162,113.3415826455336,60.286145343439834,91.3020187091704,120.87475705142,114.80518880006723,30.10911085704838,120.0833093436681,100.3642161305773,123.93189908241669,100.0,92.03855853018733
2019-05-14,83.23158847180663,12.095249528103643,83.57483891524492,101.31185206850171,60.269016679801766,113.07107108262291,80.58331637162811,92.81643137715687,116.14865040603463,100.0,70.67183613704279,102.52035163753104,100.70077088390322,103.85930864414124,105.15457941580051,88.11199319145861,121.23509421224763,74.77510251601383,71.67799482477241,122.56414847077792,88.65136784638578,111.66410847211003,86.1009157640283,69.38477310874414,103.2313649383108,83.24038528040244,103.08128153848115,94.93972562750747,100.0,97.21272575038212,95.77261052932404,56.86413904452737,116.76483996346423,113.37995136906991,60.64530883791727,91.72305784982787,120.92308492737847,115.52328362591172,30.50820068097458,120.06415350444,99.82418095820755,123.97307539252589,100.0,91.86498914316559
2019-05-15,83.20291213476077,12.1620036445472,83.2796717771253,101.37442927565787,60.16974116582134,113.14604378322863,80.53126877934854,92.94593175756937,116.29650181347624,100.0,71.02152719858876,102.4171401579961,100.62342216712901,103.76724285760753,105.16285883271172,87.81187581206767,121.63602442408899,74.89724844143252,71.55999822126496,122.95347162744916,88.93265232496142,111.41092545489101,85.99043303767463,69.28197922300039,102.89335087836251,83.16888339629948,103.15129464659204,95.1249430325663,100.0,97.06489938945153,95.74969801534311,57.34985179075897,116.85933578721885,113.39630713975791,60.54607444306394,91.74604220366969,121.07249402005054,115.25159055834311,30.423312215356596,120.14937070999684,99.56182194454273,124.11778549036698,100.0,92.14780051956856
2019-05-16,83.12828102397447,12.141392127452086,83.17428256268315,101.30991444101225,60.066286703092494,113.12610149265284,80.84126224363932,92.8742215583142,116.22708130480675,100.0,70.72446959955818,102.45938436692828,100.88044265569836,103.79832955575417,105.16660009814444,88.0442519336026,121.93110741958111,75.18438942611913,71.58818043414453,123.0001249453003,88.63410931072374,111.50193424144747,86.26470198664045,69.9054114393341,103.10675957313961,83.68917540421458,103.29279035773177,94.9524592132213,100.0,97.36704549332623,95.70871052625586,57.530822521366645,116.77777909482722,113.36984791460645,61.02483588742572,91.82209547107087,120.87309374398237,115.19917880262793,30.576527318703217,120.0605096141428,98.84864904306379,123.83963061841368,100.0,92.19025419114222
2019-05-17,83.46371904761372,12.27426125225853,83.07599127855391,101.9080279544301,59.36798395173156,113.51835446392373,80.53876109656674,93.17907242285479,115.9520292210684,100.0,71.0569053655686,102.49555269960177,100.69717308983228,103.86512409822784,105.57781945198619,87.50197933998007,121.56532632842314,75.20877907342454,71.81444513866482,123.08475027521845,89.02648179521134,111.33601661980916,86.16740143514005,69.4242721918557,102.88585603479106,83.35174054712611,103.42112864646839,94.75694704392878,100.0,97.25216746173092,95.77389015978336,57.64625949447792,117.11593602053505,113.17832932658469,60.237318714517855,91.81931827385147,121.11834312063212,114.8496628018333,30.500740875220007,120.39318853709908,98.7200971581617,124.3958981753057,100.0,92.14113084551009
2019-05-18,100.0,100.0,100.0,99.68196096064051,100.0,101.9740086798194,100.0,100.0,100.0,100.0,99.71683089505339,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.45327745954667,100.0,100.0,100.0,99.48976727203286
