Date,reporter,partner,weight
2009-03-01,AUS,ARE,0.009781858404519131
2009-04-01,AUS,ARE,0.011270422891446264
2009-05-01,AUS,ARE,0.011028879215343096
2009-06-01,AUS,ARE,0.013181336143778038
2009-07-01,AUS,ARE,0.012119406750889699
2009-08-01,AUS,ARE,0.013432945717030442
2009-09-01,AUS,ARE,0.012822339215015625
2009-10-01,AUS,ARE,0.012768221980552946
2009-11-01,AUS,ARE,0.010639716726557174
2009-12-01,AUS,ARE,0.011962122556900505
2010-01-01,AUS,ARE,0.011962055187766107
2010-02-01,AUS,ARE,0.01255414885395565
2010-03-01,AUS,ARE,0.011268207492496851
2010-04-01,AUS,ARE,0.011997490726437935
2010-05-01,AUS,ARE,0.011851422370888287
2010-06-01,AUS,ARE,0.010900432649418973
2010-07-01,AUS,ARE,0.010156599271577565
2010-08-01,AUS,ARE,0.009679544191327936
2010-09-01,AUS,ARE,0.011464883245194188
2010-10-01,AUS,ARE,0.011127758087926607
2010-11-01,AUS,ARE,0.010570013595512717
2010-12-01,AUS,ARE,0.01044086796399144
2011-01-01,AUS,ARE,0.011664346902552192
2011-02-01,AUS,ARE,0.013009248110540614
2011-03-01,AUS,ARE,0.012841934117340137
2011-04-01,AUS,ARE,0.013249076174636174
2011-05-01,AUS,ARE,0.01350510977253755
2011-06-01,AUS,ARE,0.01694645150086584
2011-07-01,AUS,ARE,0.016235180881095854
2011-08-01,AUS,ARE,0.016968412836740648
2011-09-01,AUS,ARE,0.01328679238831336
2011-10-01,AUS,ARE,0.01475099140276947
2011-11-01,AUS,ARE,0.01421473212439993
2011-12-01,AUS,ARE,0.01516925798457
2012-01-01,AUS,ARE,0.014239697506719252
2012-02-01,AUS,ARE,0.013953290016272673
2012-03-01,AUS,ARE,0.011831084833763855
2012-04-01,AUS,ARE,0.012250684801119203
2012-05-01,AUS,ARE,0.011718499236629267
2012-06-01,AUS,ARE,0.012415716008920672
2012-07-01,AUS,ARE,0.011464875278877268
2012-08-01,AUS,ARE,0.011649443174886955
2012-09-01,AUS,ARE,0.012190735477729427
2012-10-01,AUS,ARE,0.010741208770535518
2012-11-01,AUS,ARE,0.011634359261611221
2012-12-01,AUS,ARE,0.010543205903295274
2013-01-01,AUS,ARE,0.013277037577012736
2013-02-01,AUS,ARE,0.012826245530484013
2013-03-01,AUS,ARE,0.015017338162710147
2013-04-01,AUS,ARE,0.015363897793495394
2013-05-01,AUS,ARE,0.014941694806994825
2013-06-01,AUS,ARE,0.014101587356992953
2013-07-01,AUS,ARE,0.013273199421652756
2013-08-01,AUS,ARE,0.013303322599483969
2013-09-01,AUS,ARE,0.012454514400974325
2013-10-01,AUS,ARE,0.013316394017774229
2013-11-01,AUS,ARE,0.013231994200701272
2013-12-01,AUS,ARE,0.015637057441131124
2014-01-01,AUS,ARE,0.015028795704814378
2014-02-01,AUS,ARE,0.01476246517633068
2014-03-01,AUS,ARE,0.01265329809329569
2014-04-01,AUS,ARE,0.010914181933480318
2014-05-01,AUS,ARE,0.00974120096501539
2014-06-01,AUS,ARE,0.009707170625826595
2014-07-01,AUS,ARE,0.010749849761136443
2014-08-01,AUS,ARE,0.012824323124177648
2014-09-01,AUS,ARE,0.012985131993705731
2014-10-01,AUS,ARE,0.01255751334996696
2014-11-01,AUS,ARE,0.012221791970558234
2014-12-01,AUS,ARE,0.01390741066355688
2015-01-01,AUS,ARE,0.015380496448072468
2015-02-01,AUS,ARE,0.0165195279433655
2015-03-01,AUS,ARE,0.014149259443332923
2015-04-01,AUS,ARE,0.013668457809112024
2015-05-01,AUS,ARE,0.014214306282989414
2015-06-01,AUS,ARE,0.014920757248769692
2015-07-01,AUS,ARE,0.0140040527719118
2015-08-01,AUS,ARE,0.01114191411755988
2015-09-01,AUS,ARE,0.010439189808748505
2015-10-01,AUS,ARE,0.009618403577045983
2015-11-01,AUS,ARE,0.009118835299215006
2015-12-01,AUS,ARE,0.010326038528028316
2016-01-01,AUS,ARE,0.009853816905402232
2016-02-01,AUS,ARE,0.011535678465976326
2016-03-01,AUS,ARE,0.010144115687461062
2016-04-01,AUS,ARE,0.01085292260185458
2016-05-01,AUS,ARE,0.010283075130425626
2016-06-01,AUS,ARE,0.011482551500229128
2016-07-01,AUS,ARE,0.010937052087583651
2016-08-01,AUS,ARE,0.010675278442516652
2016-09-01,AUS,ARE,0.009087173179884106
2016-10-01,AUS,ARE,0.008873162504009205
2016-11-01,AUS,ARE,0.008703532314676394
2016-12-01,AUS,ARE,0.010306616714050457
2017-01-01,AUS,ARE,0.011114027885381982
2017-02-01,AUS,ARE,0.01002281652047166
2017-03-01,AUS,ARE,0.008765330074544418
2017-04-01,AUS,ARE,0.00805452540540183
2017-05-01,AUS,ARE,0.009947867797327637
2017-06-01,AUS,ARE,0.010433055979334756
2017-07-01,AUS,ARE,0.010819858613780237
2017-08-01,AUS,ARE,0.010911640812513996
2017-09-01,AUS,ARE,0.010761264775070062
2017-10-01,AUS,ARE,0.010525721002246495
2017-11-01,AUS,ARE,0.010447004615461513
2017-12-01,AUS,ARE,0.01235463041587762
2018-01-01,AUS,ARE,0.012763431395555976
2018-02-01,AUS,ARE,0.012678658622349834
2018-03-01,AUS,ARE,0.011182965870901555
2018-04-01,AUS,ARE,0.011170304656453708
2018-05-01,AUS,ARE,0.010416453912138933
2018-06-01,AUS,ARE,0.010362467519810481
2018-07-01,AUS,ARE,0.010498405748938372
2018-08-01,AUS,ARE,0.011801278543125092
2018-09-01,AUS,ARE,0.011720783909050929
2018-10-01,AUS,ARE,0.012263815004571237
2018-11-01,AUS,ARE,0.012661036350502336
2018-12-01,AUS,ARE,0.013799038173862905
2019-01-01,AUS,ARE,0.015056393658319248
2019-02-01,AUS,ARE,0.014126559139275465
2019-03-01,AUS,ARE,0.014110332678932795
2019-04-01,AUS,ARE,0.012485048960240804
2019-05-01,AUS,ARE,0.011658260154702392
2019-06-01,AUS,ARE,0.009823016788590613
2019-07-01,AUS,ARE,0.009010133014757539
2019-08-01,AUS,ARE,0.008733032645747818
2019-09-01,AUS,ARE,0.008494445412747782
2019-10-01,AUS,ARE,0.00786664886188061
2019-11-01,AUS,ARE,0.007271717525481096
2019-12-01,AUS,ARE,0.007719050753706321
2020-01-01,AUS,ARE,0.008420944881408593
2020-02-01,AUS,ARE,0.009078394647973312
2020-03-01,AUS,ARE,0.009455670468785116
2020-04-01,AUS,ARE,0.009686428782341399
2020-05-01,AUS,ARE,0.00650679558923304
2020-06-01,AUS,ARE,0.006019369452599947
2020-07-01,AUS,ARE,0.0054506296629593136
2020-08-01,AUS,ARE,0.008329266761758802
2020-09-01,AUS,ARE,0.007844284623286422
2020-10-01,AUS,ARE,0.0076612076300261005
2020-11-01,AUS,ARE,0.00707577346655662
2020-12-01,AUS,ARE,0.007165356365181473
2021-01-01,AUS,ARE,0.008051925984949672
2021-02-01,AUS,ARE,0.008046331438795443
2021-03-01,AUS,ARE,0.007670345338949278
2021-04-01,AUS,ARE,0.006189059441755844
2021-05-01,AUS,ARE,0.006171414919524962
2021-06-01,AUS,ARE,0.004175620129661525
2021-07-01,AUS,ARE,0.002269963866944898
2021-08-01,AUS,ARE,0.0
2021-09-01,AUS,ARE,0.0
